HPO_ID,Sentence,Ancestor,Rank,Remarks
HP:0010551,"Weakness of both lower extremities with sparing of the upper extremities. Paraplegia refers to a severe or complete loss of strength, whereas paraparesis refers to a relatively mild loss of strength.",HP:0000707,3,Synonym
HP:0025564,"Anterior chamber cells with 16-25 cells in a 1 mm by 1 mm slit beam field, employing adequate light intensity and magnification on a slit lamp.",HP:0000478,1,Synonym
HP:0000142,Any structural abnormality of the vagina.,HP:0000119,1,Synonym
HP:0025578,Aortic valve prolapse can be diagnosed when either or both of the right or non-coronary aortic valve cusps (seen in the cross sectional echocardiographic long axis view) show backward bowing towards the left ventricle beyond a line joining the points of attachment of the aortic valve leaflets to the annulus.,HP:0001626,0,Synonym
HP:0000448,"Distance between subnasale and pronasale more than two standard deviations above the mean, or alternatively, an apparently increased anterior protrusion of the nasal tip.",HP:0000152,5,Synonym
HP:0006568,An increase in the amount of glycogen stored in hepatocytes compared to normal.,HP:0025031,9,Definition
HP:0031142,"Any deviation from the normal degree of echogenicity of the liver on sonography. Echogenicity refers to the ability of a tissue to reflect or transmit ultrasound waves in the context of surrounding tissues. Whenever there is an interface of structures with different echogenicities, a visible difference in contrast will be apparent on the screen. Based on echogenicity, a structure can be characterized as hyperechoic (white on the screen), hypoechoic (gray on the screen) and anechoic (black on the screen).",HP:0025031,7,Definition
HP:0001804,Underdevelopment of a fingernail.,HP:0001574,3,Definition
HP:0007730,An abnormal reduction in the amount of pigmentation of the iris.,HP:0000478,1,Definition
HP:0030124,A decreased amount of lamin A/C in muscle tissue. This feature can be shown by immunohistochemistry of Western blotting of muscle tissue.,HP:0003011,1,Synonym
HP:0000627,A posterior embryotoxon is the presence of a prominent and anteriorly displaced line of Schwalbe.,HP:0000478,7,Definition
HP:0000995,"A oval and round, colored (usually medium-to dark brown, reddish brown, or flesh colored) lesion. Typically, a melanocytic nevus is less than 6 mm in diameter, but may be much smaller or larger.",HP:0001574,13,Definition
HP:0011365,Reduced pigmentation of hair in patches.,HP:0001574,14,Definition
HP:0004810,A type of hypoplastic anemia with congenital onset.,HP:0001871,3,Synonym
HP:0010543,Bursts of large-amplitude multidirectional saccades without intersaccadic interval,HP:0000478,1,Definition
HP:0002292,Absence of hair in the anterior midline and/or parietal areas.,HP:0001574,13,Definition
HP:0030832,Fiber- or rope-like opacities located within the vitreous humor.,HP:0000478,0,Synonym
HP:0011469,Regurgitation of milk through the nose.,HP:0025031,12,Definition
HP:0008628,"An abnormality of the stapes, a stirrup-shaped ossicle in the middle ear.",HP:0000598,0,Synonym
HP:0031510,A transverse linear fissure (crease) in the lobule of the ear.,HP:0000598,0,Synonym
HP:0100692,An increase in the degree of curvature of the cornea compared to normal.,HP:0000478,2,Definition
HP:0004898,A continuous form of lactic acidemia.,HP:0001939,1,Synonym
HP:0000962,"Hyperkeratosis is thickening of the outer layer of the skin, the stratum corneum, which is composed of large, polyhedral, plate-like envelopes filled with keratin which are the dead cells that have migrated up from the stratum granulosum.",HP:0001574,4,Definition
HP:0003196,"Distance from nasion to subnasale more than two standard deviations below the mean, or alternatively, an apparently decreased length from the nasal root to the nasal tip.",HP:0000152,5,Synonym
HP:0030175,The presence of multiple sausage-shaped swellings of the myelin sheath (The Latin tomaculum means sausage).,HP:0000707,3,Synonym
HP:0001093,The presence of developmental dysplasia of the optic nerve.,HP:0000478,3,Definition
HP:0009891,Flatness of the supraorbital portion of the frontal bones.,HP:0000152,4,Synonym
HP:0025511,A solitary yellow-orange slightly raised plaque typically on scalp or face. The plaque typically thickens and becomes more verrucous or pebbly during childhood.,HP:0001574,15,Definition
