HPO_ID,Sentence,Ancestor,Rank,Remarks
HP:0006660,Absence of the clavicles as a developmental defect.,HP:0000924,6,Synonym
HP:0001552,"A rounded, bulging chest that resembles the shape of a barrel. That is, there is an increased anteroposterior diameter and usually some degree of kyphosis.",HP:0000924,6,Synonym
HP:0500152,A decreased amount of cystine in the blood.,HP:0001939,3,Synonym
HP:0030427,A benign central bone tumor of the jaw composed of fibrous connective tissue within which bone is formed.,HP:0002664,0,Synonym
HP:0011521,"Complete lack of the M photopigment, which is replaced with the L photopigment. Affected individuals tend to confuse red and green.",HP:0000478,2,Synonym
HP:0030274,"Additional scrotum, or part of a scrotum in an abnormal location.",HP:0000119,3,Synonym
HP:0025371,Formation of the sacrum bone tissue occurs later than age-adjusted norms.,HP:0000924,5,Synonym
HP:0007375,"An abnormality of the septum pellucidum, which is a thin, triangular, vertical membrane separating the lateral ventricles of the brain.",HP:0000707,3,Synonym
HP:0011346,"A mild delay in the acquisition of the ability to use language to communicate needs, wishes, or thoughts.",HP:0000707,4,Synonym
HP:0032910,A type of focal automatism seizure during which awareness is fully retained throughout.,HP:0000707,1,Synonym
HP:0012045,Presence of multiple yellowish-white lesions of various size and configuration on the retina not related to vascular lesions.,HP:0000478,2,Synonym
HP:0025586,A type of strabismus characterized by permanent upward deviation of the visual axis of one eye.,HP:0000478,0,Definition
HP:0032083,"Loss and/or fragmentation of elastic fibers of the media of the aorta creating increasingly extended translamellar spaces, with absence of elastic fibers, and increased gaps in elastic fiber lamellae as identified on a stain for elastic fibers.",HP:0001626,0,Synonym
HP:0032789,A focal behavior arrest seizure characterised by retained awareness throughout the seizure.,HP:0000707,3,Synonym
HP:0032258,"Infection of the lungs with Histoplasma capsulatum. Symptoms may include fever, headache, weakness, chest pain and dry cough. When imaging is done, chest radiographs may show patchy pneumonia involving one or more lobes with adenopathy of the mediastinum or hilum.",HP:0002715,7,Definition
HP:0032723,A focal motor seizure with dystonia characterized by retained awareness throughout the seizure.,HP:0000707,3,Synonym
HP:0002588,An erosion of the mucous membrane in a portion of the duodenum.,HP:0025031,0,Definition
HP:0000603,An area of depressed vision located at the point of fixation and that interferes with central vision.,HP:0000478,0,Synonym
HP:0011026,Aplasia or developmental hypoplasia of the vagina.,HP:0000119,2,Synonym
HP:0012618,A cyst located along the allantois canal.,HP:0000119,4,Definition
HP:0025359,An abnormal polygonal shape of the calices of the kidney (which normally have a rounded or cup-shaped appearance).,HP:0000119,5,Definition
HP:0012884,"A twisting of the Fallopian tube. Sudden onset with sharp, colicky pelvic pain associated with nausea, vomiting, bowel, and bladder symptoms is the usual presentation.",HP:0000119,0,Synonym
HP:0006611,"A less than normal number of sternal ossification centers. The sternum is initially formed from bilateral sternal plates that chondrify and begin to fuse with ribs at 10 weeks gestational age. Ossification starts in the manubrium and upper part of the sternal body at the 6th month, in the middle of the sternal body at the 7th month, in the lower part of the body during the 1st postnatal year and in the xiphoid process between years 5 and 18. The number of ossification centers vary up to six, and it is the ossification centers that are visualized by prenatal ultrasound. This term describes a reduction in the number of ossification centers compared with age-related norms.",HP:0000924,3,Synonym
HP:0031196,"Reduced thickness of the outer, dense layer of the myocardium.",HP:0001626,1,Synonym
HP:0045044,A reduced level of the complement component C4b in circulation.,HP:0002715,5,Definition
HP:0003141,An elevated concentration of low-density lipoprotein cholesterol in the blood.,HP:0001939,4,Synonym
HP:0011522,Blue and green cones only; no functional red cones.,HP:0000478,3,Synonym
HP:0100327,Hypersensitivity in form of an adverse immune reaction against cow milk protein.,HP:0002715,0,Definition
HP:0011142,A type of age-related cataract that primarily affects the nucleus of the lens.,HP:0000478,0,Synonym
HP:0500151,An increased amount of cystine in the blood.,HP:0001939,4,Synonym
HP:0001493,An area of the retina that is buckled so that a sector-shaped sheet of retina lies in front of the normal retina. This feature is of congenital onset.,HP:0000478,2,Synonym
HP:0002000,Reduced distance from the anterior border of the naris to the subnasale.,HP:0000152,7,Synonym
HP:0008019,Partial dislocation of the lens in a superior direction.,HP:0000478,2,Synonym
HP:0000048,Midline indentation or cleft of the scrotum.,HP:0000119,3,Synonym
HP:0011510,"Drusen (singular, 'druse') are tiny yellow or white accumulations of extracellular material (lipofuscin) that build up in Bruch's membrane of the eye.",HP:0000478,0,Synonym
HP:0002490,Increased concentration of lactate in the cerebrospinal fluid.,HP:0000707,6,Synonym
