HPO_ID,Sentence,Ancestor,Rank,Remarks
HP:0003187,Underdevelopment of the breast.,HP:0000769,0,Definition
HP:0002552,Developmental dysplasia of the hair.,HP:0001574,12,Definition
HP:0000829,A condition caused by a deficiency of parathyroid hormone characterized by hypocalcemia and hyperphosphatemia.,HP:0000818,0,Definition
HP:0001178,An abnormal hand position characterized by hyperextension of the fourth and fifth fingers at the metacarpophalangeal joints and flexion of the interphalangeal joints of the same fingers such that they are curled towards the palm.,HP:0040064,3,Synonym
HP:0012346,"An anomaly of a protein glycosylation process, i.e., of a protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins.",HP:0001939,3,Definition
HP:0031883,An elevated concentration of proinsulin (the prohormone precursor to insulin) to mature insulin in the circulation.,HP:0001939,2,Definition
HP:0008081,An outward deviation of the foot at the talocalcaneal or subtalar joint.,HP:0040064,4,Synonym
HP:0410174,"An increased concentration of tropnin T in the blood, which is a cardiac regulatory protein that controls the calcium mediated interaction between actin and myosin. Raised cardiac troponin concentrations are now accepted as the standard biochemical marker for the diagnosis of myocardial infarction.",HP:0001626,0,Synonym
HP:0012667,An abnormal motion of a segment of the left ventricle during the cardiac cycle.,HP:0001626,0,Synonym
HP:0032368,An abnormally low blood pH (usually defined as less than 7.35).,HP:0001939,4,Synonym
HP:0010648,An abnormally increased ability of the skin to permit light to pass through (translucency) such that subcutaneous structures such as veins display an increased degree of visibility.,HP:0001574,2,Definition
HP:0410399,Detection of lead in the blood.,HP:0001939,6,Synonym
HP:0032150,Excruciating burning pain in the rectal area that may be triggered by defecation.,HP:0025142,1,Definition
HP:0032505,Pharyngeal spasms provoked by an attempt to drink.,HP:0000707,4,Synonym
HP:0012109,A type of glaucomatous optic neuropathy in an eye that has evidence of angle closure (i.e. significant iridotrabecular contact).,HP:0000478,0,Synonym
HP:0004306,An abnormality of the endocardium.,HP:0001626,1,Synonym
HP:0005305,"Formation of a blood clot (thrombus) inside a cerebral vein, causing the obstruction of blood flow.",HP:0001871,0,Synonym
HP:0031216,An elevated concentration of progesterone in the blood.,HP:0000818,1,Synonym
HP:0001249,"Subnormal intellectual functioning which originates during the developmental period. Intellectual disability, previously referred to as mental retardation, has been defined as an IQ score below 70.",HP:0000707,3,Synonym
HP:0003508,A kind of short stature in which different regions of the body are shortened to a comparable extent.,HP:0001507,0,Synonym
HP:0030831,"Abnormal breath sounds characterized by low-pitched, snoring or rattle-like sounds.",HP:0002086,0,Synonym
HP:0000153,An abnormality of the mouth.,HP:0000152,1,Synonym
HP:0000826,"The onset of secondary sexual characteristics before a normal age. Although it is difficult to define normal age ranges because of the marked variation with which puberty begins in normal children, precocious puberty can be defined as the onset of puberty before the age of 8 years in girls or 9 years in boys.",HP:0000818,4,Definition
HP:0031826,"Any anomaly of a reflex, i.e., of an automatic response mediated by the nervous system (a reflex does not need the intervention of conscious thought to occur).",HP:0000707,0,Synonym
HP:0031961,"Any deviation from the normal value of the serum anion gap, which is calculated from the electrolytes measured in the chemical laboratory, is defined as the sum of serum chloride and bicarbonate concentrations subtracted from the serum sodium concentration.",HP:0001939,0,Synonym
HP:0011880,"An acute form of disseminated intravascular coagulation. Acute DIC can occur following sudden exposure of blood to procoagulants, with the compensatory hemostatic mechanisms becoming overwhelmed.",HP:0001871,2,Synonym
HP:0001827,Congenital occlusion of a tube in the genital tract.,HP:0000119,1,Synonym
HP:0000069,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,HP:0000119,2,Synonym
HP:0003282,Abnormally reduced serum levels of alkaline phosphatase.,HP:0001939,7,Synonym
HP:0003712,"Hypertrophy (increase in size) of muscle cells (as opposed to hyperplasia, which refers to an increase in the number of muscle cells).",HP:0003011,1,Synonym
HP:0025482,"An abnormal result of the perchlorate discharge test. In this test, first radioactive iodine is administered, sufficinet time is allowed to pass so that the radioactive iodine is captured by the thyroid,and then, perchlorate is administered orally. The perchlorate displaces non-organified iodide from the thyroid. The perchlorate discharge test is considered positive (abnormal) if there is an abnormally rapid loss of radioactive iodine from the thyroid.",HP:0000818,4,Definition
HP:0030230,"The presence of disorganized areas called cores in the center of muscle fibers. There is a typical appearance of the biopsy on light microscopy, where the muscle cells have cores that are devoid of mitochondria and specific enzymes. Cores are typically well demarcated and centrally located, but may occasionally be multiple and of eccentric.",HP:0003011,0,Synonym
HP:0100284,"High frequency discharges in electromyography (EMG) that vary in amplitude and frequency, waxing and waning continuously with firing frequencies ranging from 150/second down to 20/second and producing a sound that has been referred to as a dive bomber sound.",HP:0003011,3,Definition
HP:0011615,"An abnormality of the pulmonary situs, i.e., of the sidedness of the morphological right and left lungs, which is defined by characteristics such as the number of lobes per lung and the relationship of the pulmonary arteries to their bronchi.",HP:0002086,2,Definition
HP:0003154,"An abnormal increased in the concentration of corticotropin, also known as adrenocorticotropic hormone (ACTH), in the blood.",HP:0000818,1,Definition
HP:0025016,A structural anomaly of the tiny blood vessels that connect arterioles with venules and whose walls act as semipermeable membranes that mediate the diffusion of fluids and gases between the blood circulation and body tissues.,HP:0001626,3,Synonym
HP:0001544,Abnormally prominent umbilicus (belly button).,HP:0025031,9,Definition
HP:0002186,"A defect in the understanding of complex motor commands and in the execution of certain learned movements, i.e., deficits in the cognitive components of learned movements.",HP:0000707,0,Synonym
HP:0410013,"Any abnormality of the submandibular region, the region between the mandible and the hyoid bone contains the submandibular and sublingual glands, suprahyoid muscles, submandibular ganglion, and lingual artery.",HP:0000152,0,Synonym
HP:0002071,"A neurological condition related to lesions of the basal ganglia leading to typical abnormalities including akinesia (inability to initiate changes in activity and perform volitional movements rapidly and easily), muscular rigidity (continuous contraction of muscles with constant resistance to passive movement), chorea (widespread arrhythmic movements of a forcible, rapid, jerky, and restless nature), athetosis (inability to sustain the muscles of the fingers, toes, or other group of muscles in a fixed position), and akathisia (inability to remain motionless).",HP:0000707,1,Synonym
HP:0033015,Abnormally elevated concentration of cortisol in saliva.,HP:0001939,5,Definition
HP:0004342,Abnormality of galactoside metabolism. A galactoside is a glycoside (a suger moiety bound to some other moiety) containing galactose.,HP:0001939,0,Synonym
HP:0011905,"Hemoglobin A (HbA) contains two globin alpha chains and two globin beta chains. HbA is normally the main adult hemoglobin, representing about 96-98 percent of all hemoglobin. This term represents a decreased in the proportion of HbA below this limit, and can be seen in various forms of thalassemia.",HP:0001871,2,Synonym
HP:0005968,"Disordered thermoregulation characterized by an impaired ability to maintain a balance between heat production and heat loss, with resulting instability of body temperature.",HP:0001939,0,Definition
HP:0012302,A severe virus infection of the central nervous system by the herpes simplex virus (HSV).,HP:0002715,1,Definition
HP:0031921,Pain of the gastrocnemius muscle.,HP:0025142,2,Definition
HP:0030867,"The orbits do not lie on the same horizontal plane, that is, one eye is lower than the other.",HP:0000478,0,Synonym
HP:0100882,"A rare, benign soft tissue tumor that typically occurs within the first two years of life.",HP:0002664,0,Synonym
HP:0032508,Habitual insertion of foreign bodies into bodily orifices.,HP:0000707,9,Synonym
HP:0012627,Deposition of fibrillar material that can be found on all anterior segment structures bathed by aqueous humor.,HP:0000478,1,Synonym
HP:0002493,"A functional anomaly of the upper motor neuron. The upper motor neurons are neurons of the primary motor cortex which project to the brainstem and spinal chord via the corticonuclear, corticobulbar and corticospinal (pyramidal) tracts. They are involved in control of voluntary movements. Dysfunction leads to weakness, impairment of fine motor movements, spasticity, hyperreflexia and abnormal pyramidal signs.",HP:0000707,1,Synonym
HP:0410286,"Detection of molindone in the blood, an antipyschotic used for treatment of schizophrenia.",HP:0001939,6,Definition
HP:0001000,An abnormality of the pigmentation of the skin.,HP:0001574,2,Definition
HP:0007335,Recurrent episodes of brain dysfunction that may be triggered by factors such as metabolic disturbances or infections.,HP:0000707,4,Synonym
HP:0030000,Abnormality observed upon electromyography when nerve studied is electrically stimulated six to ten times at 2 or 3 Hertz.,HP:0003011,0,Synonym
HP:0020182,"A measurable change in circulating levels of Atrial natriuretic peptide hormone, a protein which plays an important role in the regulation of body fluid volume and blood pressure.",HP:0001939,3,Definition
HP:0005528,A reduced number of hematopoietic cells present in the bone marrow relative to marrow fat.,HP:0001871,2,Synonym
HP:0032281,"Deviation from the normal quantity of base excess, defined as the amount of strong acid (in millimoles per liter) that needs to be added in vitro to 1 liter of fully oxygenated whole blood to return a blood sample to standard conditions (pH of 7.40, Pco2 of 40 mm Hg, and temperature of 37 degrees C).",HP:0001939,0,Definition
HP:0012448,Delayed myelination.,HP:0000707,3,Synonym
HP:0012763,A sudden attack of dyspnea that occurs while the affected person is at rest.,HP:0002086,1,Synonym
HP:0010859,A kind of breech presentation in which the hips are flexed and the knees are extended.,HP:0001197,2,Synonym
HP:0008158,Hyperapobetalipoproteinemia is defined as the combination of a normal low density lipoprotein (LDL) cholesterol in the face of an increased LDL apolipoprotein B (apoB) protein.,HP:0001939,1,Synonym
HP:0000592,An abnormal bluish coloration of the sclera.,HP:0000478,3,Definition
HP:0025439,Inflammation (due to infection or irritation) of the pharynx.,HP:0000152,8,Synonym
HP:0031276,"A type of shock characterized by inadequate cardiac preload due to obstructed venous return (e.g. pericardial tamponade, tension pneumothorax, abdominal compartment) or obstruction of arterial blood flow (e.g. pulmonary embolism).",HP:0001626,0,Synonym
HP:0032487,Abnormally low concentration of feces as assessed by the total number of solute particles per kilogram.,HP:0001939,4,Synonym
HP:0000925,Any abnormality of the vertebral column.,HP:0000924,2,Synonym
HP:0030823,Increased dimension of the sclera in the anterior-posterior axis.,HP:0000478,2,Synonym
HP:0046507,Bradypnea is referring to breathing that is abnormally slow.,HP:0002086,0,Synonym
HP:0001654,Any structural abnormality of a cardiac valve.,HP:0001626,0,Synonym
HP:0008967,A type of muscle stiffness that occurs following physical exertion.,HP:0003011,0,Synonym
HP:0030654,Any cystic lesion associated with the umbilical cord.,HP:0001197,1,Synonym
HP:0030089,An anomalous amount of protein present in or on the surface of muscle fibers. This feature may be appreciate upon immunohistochemical investigation of muscle biopsy tissue.,HP:0003011,0,Synonym
HP:0033007,"Architectural distortion is characterized by abnormal displacement of bronchi, vessels, fissures, or septa caused by diffuse or localized lung disease, particularly interstitial fibrosis. This is visible in lung biopsy and CT scans in a distorted appearance and is usually associated with pulmonary fibrosis and accompanied by volume loss.",HP:0002086,1,Synonym
HP:0000528,Absence of the globe or eyeball.,HP:0000478,0,Definition
HP:0011534,Abnormality of the spatial relationship of the cardiac segments to other components of the heart.,HP:0001626,0,Synonym
HP:0003546,A functional motor deficit where individuals whose responses to the challenges of exercise fail to achieve levels considered normal for their age and gender.,HP:0003011,1,Synonym
