HPO_ID,Sentence,Ancestor,Rank,Remarks
HP:0025461,Any anomaly of cell structure.,HP:0025354,3,Definition
HP:0031352,An unpleasant sensation of tightness or pressure in the chest.,HP:0025142,3,Definition
HP:0000464,An abnormality of the neck.,HP:0000152,0,Synonym
HP:0031863,The presence of an infectious agent in the blood circulation.,HP:0001939,10,Synonym
HP:0001928,"An abnormality of the process of blood coagulation. That is, altered ability or inability of the blood to clot.",HP:0001871,4,Synonym
HP:0009088,Impairment in the physical production of speech sounds.,HP:0001608,0,Synonym
HP:0041079,"The percentage of fat as a part of total body weight below the norm, usually defined as less than 14% for females and less than 8% for males.",HP:0001507,0,Synonym
HP:0012379,An altered ability of any enzyme or their cofactors to act as catalysts. This term includes changes due to altered levels of an enzyme.,HP:0001939,3,Synonym
HP:0011024,An abnormality of the gastrointestinal tract.,HP:0025031,1,Definition
HP:0100685,"An abnormality of Sharpey's fibers (bone fibers, or perforating fibers), which are a matrix of connective tissue consisting of bundles of strong collagenous fibres connecting periosteum to bone.",HP:0003549,1,Definition
HP:0031838,Presence of a chemical substance found within an individual that is not naturally produced or expected to be present in human tissues or bodily fluids.,HP:0001939,8,Synonym
HP:0011805,A structural abnormality of a skeletal muscle.,HP:0003011,3,Synonym
HP:0001622,The birth of a baby of less than 37 weeks of gestational age.,HP:0001197,0,Synonym
HP:0001621,Reduced intensity (volume) of speech.,HP:0001608,1,Synonym
HP:0012639,A structural anomaly of the nervous system.,HP:0000707,1,Synonym
HP:0000828,An abnormality of the parathyroid gland.,HP:0000818,1,Definition
HP:0011034,The presence of amyloid deposition in one or more tissues. Amyloidosis may be defined as the extracellular deposition of amyloid in one or more sites of the body.,HP:0001939,11,Synonym
HP:0010978,A functional abnormality of the immune system.,HP:0002715,0,Definition
HP:0033047,"Body ache is a complaint that is often used to denote vague symptoms of mild fatigue, lethargy, or dull aches. We will define it here to mean a dull and poorly localizable pain that is described by the affected individual to affect multiple joints or body parts or even the entire body.",HP:0025142,0,Definition
HP:0100536,An abnormality of fascia.,HP:0003549,1,Definition
HP:0031434,"An anomaly of the expressive patterns of speech that involve intonation, stress pattern, loudness variations, pausing, articulatory force, and rhythm.",HP:0001608,0,Synonym
HP:0010300,An abnormally low-pitched voice.,HP:0001608,0,Synonym
